pass_completions,pass_attempts,pass_completion_percentage,pass_yards,pass_yards_per_attempt,adjusted_pass_yards_per_attempt,pass_touchdowns,pass_interceptions,pass_efficiency_rating,rush_attempts,rush_yards,rush_yards_per_attempt,rush_touchdowns,receptions,rec_yards,rec_yards_per_reception,rec_touchdowns,plays_from_scrimmage,yards_from_scrimmage,yards_from_scrimmage_per_play,td_from_scrimmage,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss,interceptions,interception_return_yards,interception_return_yards_per_interception,interception_return_touchdowns,passes_defended,fumbles_recovered,fumble_recovery_return_yards,fumble_recovery_return_touchdowns,fumbles_forced,kickoff_returns,kickoff_return_yards,kickoff_return_yards_per_return,kickoff_return_touchdowns,punt_returns,punt_return_yards,punt_return_yards_per_return,punt_return_touchdowns,extra_points_made,extra_point_attempts,extra_point_percentage,field_goals_made,field_goal_attempts,field_goal_percentage,kicking_points,punts,punting_yards,punting_yards_per_punt,game_id,player_id
20,37,54.1,221,6,7.1,2,0,122.1,2,13,6.5,0,,,,,2,13,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,19,128,6.7,4,5,35,7,0,24,163,6.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
,,,,,,,,,1,7,7,0,,,,,1,7,7,0,,,,,,,,,,,,,,1,14,14,0,,,,,,,,,,,,,,,1,7
,,,,,,,,,,,,,4,115,28.8,2,4,115,28.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18
,,,,,,,,,,,,,4,33,8.3,0,4,33,8.3,0,,,,,,,,,,,,,,1,9,9,0,,,,,,,,,,,,,,,1,32
,,,,,,,,,,,,,3,17,5.7,0,3,17,5.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22
,,,,,,,,,,,,,3,14,4.7,0,3,14,4.7,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20
,,,,,,,,,,,,,1,7,7,0,1,7,7,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19
,,,,,,,,,,,,,,,,,,,,,10,13,23,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,77
,,,,,,,,,,,,,,,,,,,,,3,15,18,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80
,,,,,,,,,,,,,,,,,,,,,7,6,13,0.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,81
,,,,,,,,,,,,,,,,,,,,,2,11,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99
,,,,,,,,,,,,,,,,,,,,,6,6,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,66
,,,,,,,,,,,,,,,,,,,,,3,6,9,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,88
,,,,,,,,,,,,,,,,,,,,,2,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,63
,,,,,,,,,,,,,,,,,,,,,2,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,62
,,,,,,,,,,,,,,,,,,,,,1,5,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,91
,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,68
,,,,,,,,,,,,,,,,,,,,,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,94
,,,,,,,,,,,,,,,,,,,,,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65
,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,96
,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,76
,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35
,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,110
,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,97
,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,86,43,0,,,,,,,,,,,,,,,1,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,100,0,0,,6,,,,1,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,282,47,1,106
